state_abbr,n_patients,avg_lifestyle_score_100,avg_diet_score_100,avg_pa_score_100,avg_bmi_score_100
AK,10,50.86236187845304,51.424723756906076,70.0,51.0
AL,4,48.22893646408839,46.9578729281768,65.0,50.0
AR,7,49.47720994475138,45.525848460931336,57.142857142857146,60.0
AZ,26,51.1036442838929,49.32267318317042,70.38461538461539,56.15384615384615
CA,23,52.2542937785251,52.6390223396589,66.52173913043478,54.78260869565217
CO,18,47.983847452424804,46.02325046040516,64.44444444444444,51.666666666666664
CT,20,46.115814917127075,43.18162983425414,66.0,50.5
DC,7,49.50621546961326,48.298145224940804,70.0,45.714285714285715
DE,8,50.99646063535912,47.99292127071823,75.0,50.0
FL,20,45.71778314917127,43.535566298342545,62.5,41.5
GA,17,48.23375040623984,48.34985375365616,68.82352941176471,46.470588235294116
GU,4,54.955973756906076,57.41194751381216,65.0,55.0
HI,8,48.076830110497234,44.528660220994475,67.5,48.75
IA,11,54.928741838272224,52.58475640381718,66.36363636363636,57.27272727272727
ID,4,43.13121546961327,39.01243093922652,65.0,47.5
IL,9,46.485036832412526,43.85896255371394,67.77777777777777,45.55555555555556
IN,19,49.18301104972376,51.15549578365804,66.84210526315789,43.1578947368421
KS,19,43.71110788019774,42.68537365513231,63.68421052631579,42.63157894736842
KY,18,50.65051411909147,53.24547268262738,60.55555555555556,54.44444444444444
LA,5,47.91381215469613,47.027624309392266,66.0,50.0
MA,12,48.883690147329645,44.68404696132597,68.33333333333333,62.5
MD,34,48.138974650633735,47.54265518362041,65.88235294117646,48.529411764705884
ME,22,47.20718232044199,47.914364640883974,64.54545454545455,48.63636363636363
MI,12,49.47093692449355,48.69187384898711,70.0,40.833333333333336
MN,19,47.936536783948824,44.294126199476594,68.94736842105263,51.05263157894737
MO,9,44.8030233271946,38.27271332105587,65.55555555555556,61.111111111111114
MS,5,46.06850828729282,47.33701657458564,66.0,46.0
MT,10,46.01312154696133,47.02624309392265,68.0,40.0
NC,9,51.85021485573972,55.03376304481277,61.111111111111114,47.77777777777778
ND,14,48.76588397790056,44.10319652722968,65.71428571428571,64.28571428571429
NE,27,47.44408635154491,43.740024554941684,67.77777777777777,60.74074074074074
NH,12,51.748100828729285,50.99620165745856,63.333333333333336,58.333333333333336
NJ,13,45.311357841053976,41.4688695282618,66.92307692307692,58.46153846153846
NM,5,50.44723756906077,51.49447513812155,60.0,58.0
NV,3,52.25276243093922,46.505524861878456,76.66666666666667,50.0
NY,28,47.9057813733228,46.775848460931336,63.92857142857143,55.714285714285715
OH,20,47.986705801104975,48.22341160220994,61.5,52.0
OK,8,47.49594267955801,42.86688535911602,70.0,58.75
OR,7,50.472967640094716,54.374506708760855,61.42857142857143,47.142857142857146
PA,16,49.480101864640886,51.14770372928177,63.75,48.125
PR,9,52.27286678944137,49.54573357888275,63.333333333333336,71.11111111111111
RI,13,49.12138759031025,47.93508287292818,66.92307692307692,50.0
SC,11,48.33733048719237,44.12920642893019,66.36363636363636,64.54545454545455
SD,6,47.29155156537754,46.08310313075506,70.0,51.666666666666664
TN,11,48.324773982923155,45.922275238573576,68.18181818181819,53.63636363636363
TX,17,50.37670620734482,52.10635359116022,60.0,47.64705882352941
UT,12,48.150322283609576,48.38397790055249,65.0,50.833333333333336
VA,8,51.236533149171265,44.848066298342545,67.5,63.75
VI,3,49.659300184162056,47.65193370165746,63.333333333333336,46.666666666666664
VT,20,50.50255524861878,53.45511049723757,64.0,39.5
WA,35,46.33411602209945,44.753946329913184,64.57142857142857,48.285714285714285
WI,15,47.29198895027625,45.38397790055249,65.33333333333333,44.0
WV,15,49.67946593001842,47.558931860036836,62.0,52.0
WY,7,56.35142067876875,60.98855564325178,72.85714285714286,52.857142857142854
